"games","season","total_participants","rolling_total_participants","growth_rate_in_pct"
"1896 Summer","Summer","12","12","0"
"1900 Summer","Summer","31","43","158.33"
"1904 Summer","Summer","14","57","-54.84"
"1906 Summer","Summer","20","77","42.86"
"1908 Summer","Summer","22","99","10.00"
"1912 Summer","Summer","29","128","31.82"
"1920 Summer","Summer","29","157","0.00"
"1924 Summer","Summer","45","202","55.17"
"1924 Winter","Winter","19","19","0"
"1928 Summer","Summer","46","248","2.22"
"1928 Winter","Winter","25","44","31.58"
"1932 Summer","Summer","47","295","2.17"
"1932 Winter","Winter","17","61","-32.00"
"1936 Summer","Summer","49","344","4.26"
"1936 Winter","Winter","28","89","64.71"
"1948 Summer","Summer","59","403","20.41"
"1948 Winter","Winter","28","117","0.00"
"1952 Summer","Summer","67","470","13.56"
"1952 Winter","Winter","30","147","7.14"
"1956 Summer","Summer","71","541","5.97"
"1956 Winter","Winter","32","179","6.67"
"1960 Summer","Summer","83","624","16.90"
"1960 Winter","Winter","30","209","-6.25"
"1964 Summer","Summer","93","717","12.05"
"1964 Winter","Winter","36","245","20.00"
"1968 Summer","Summer","111","828","19.35"
"1968 Winter","Winter","36","281","0.00"
"1972 Summer","Summer","120","948","8.11"
"1972 Winter","Winter","34","315","-5.56"
"1976 Summer","Summer","91","1039","-24.17"
"1976 Winter","Winter","36","351","5.88"
"1980 Summer","Summer","80","1119","-12.09"
"1980 Winter","Winter","36","387","0.00"
"1984 Summer","Summer","139","1258","73.75"
"1984 Winter","Winter","48","435","33.33"
"1988 Summer","Summer","156","1414","12.23"
"1988 Winter","Winter","56","491","16.67"
"1992 Summer","Summer","168","1582","7.69"
"1992 Winter","Winter","64","555","14.29"
"1994 Winter","Winter","67","622","4.69"
"1996 Summer","Summer","196","1778","16.67"
"1998 Winter","Winter","72","694","7.46"
"2000 Summer","Summer","199","1977","1.53"
"2002 Winter","Winter","76","770","5.56"
"2004 Summer","Summer","200","2177","0.50"
"2006 Winter","Winter","78","848","2.63"
"2008 Summer","Summer","203","2380","1.50"
"2010 Winter","Winter","81","929","3.85"
"2012 Summer","Summer","204","2584","0.49"
"2014 Winter","Winter","88","1017","8.64"
"2016 Summer","Summer","205","2789","0.49"
